year,deaths_malaria_under_5_,deaths_hivaids_under_5_,deaths_meningitis_under_5_,deaths_nutritional_deficiencies_under_5_,deaths_other_neonatal_disorders_under_5_,deaths_whooping_cough_under_5_,deaths_lower_respiratory_infections_under_5_,deaths_congenital_birth_defects_under_5_,deaths_measles_under_5_,deaths_neonatal_sepsis_and_other_neonatal_infections_under_5_,deaths_neonatal_encephalopathy_due_to_birth_asphyxia_and_trauma_under_5_,deaths_drowning_under_5_,deaths_tuberculosis_under_5_,deaths_neonatal_preterm_birth_under_5_,deaths_diarrheal_diseases_under_5_,deaths_neoplasms_under_5_,deaths_syphilis_under_5_
1990,9707,6836,2772,5444,3855,1210,15821,3688,7286,3050,5401,269,999,4832,12453,420,1542
1991,10052,9309,2639,5286,3824,1156,15066,3585,6752,3066,5448,250,940,4850,13879,402,1458
1992,10161,11904,2519,5119,3814,1115,14483,3491,6282,3082,5521,235,896,4895,15432,384,1379
1993,10164,14327,2399,4918,3808,1054,13949,3396,5855,3091,5590,216,858,4940,16739,367,1308
1994,10163,16369,2284,4697,3809,1043,13427,3309,5480,3099,5660,204,818,4990,17973,351,1251
1995,10338,17949,2184,4485,3828,955,12927,3242,5056,3113,5747,191,778,5051,18978,338,1210
1996,10507,19041,2106,4275,3847,938,12511,3206,4782,3154,5862,179,743,5138,19129,329,1183
1997,10521,19693,2037,4046,3883,961,12184,3182,4570,3209,6003,171,716,5250,19622,321,1164
1998,10543,19907,1963,3786,3917,921,11848,3156,4392,3265,6140,159,690,5358,19733,313,1143
1999,10566,19786,1902,3540,3953,1011,11501,3140,4267,3326,6267,149,665,5475,19122,307,1127
2000,8978,19465,1919,3513,4006,1077,11579,3220,4059,3407,6404,148,671,5579,17984,316,1153
2001,10030,18926,1729,3229,4020,1101,11075,3235,3852,3471,6538,141,629,5659,16731,305,1188
2002,9545,18245,1718,3084,4085,1118,10913,3317,3941,3577,6599,140,608,5782,15854,306,1226
2003,10252,17418,1750,3092,3965,1077,11009,3409,823,3511,6993,147,607,5554,16518,320,1242
2004,9410,16282,1734,3100,3936,1066,10850,3463,600,3510,7231,145,583,5461,16422,320,1254
2005,7796,14982,1770,3043,3916,1089,10895,3571,761,3508,7466,147,575,5367,16331,327,1280
2006,6349,13669,1802,3031,3911,1044,10858,3650,1051,3517,7654,153,565,5337,16380,338,1253
2007,5655,11345,1833,2987,3920,1020,10835,3707,874,3532,7682,157,562,5294,16556,354,1161
2008,5017,9123,1772,2852,3910,1009,10551,3691,1946,3530,7719,155,544,5207,16206,358,1025
2009,4114,8065,1781,2829,3972,936,10450,3735,2127,3554,7661,162,543,5197,16214,372,913
2010,2557,7105,1863,2986,4041,1062,10611,3859,1373,3596,7627,179,565,5193,15997,410,872
2011,1411,6336,1323,3101,4093,1051,10384,3955,1572,3643,7633,188,570,5197,15566,433,880
2012,1203,5895,1256,2991,4098,990,9811,3893,2448,3631,7593,184,535,5159,14391,425,871
2013,2060,5409,1217,2952,4083,991,9389,3841,1507,3601,7530,179,517,5092,13485,425,861
2014,2680,4856,1175,2857,4070,1016,8910,3760,1498,3575,7467,165,490,5014,12181,412,849
2015,3031,4390,1112,2699,4015,956,8232,3614,2052,3528,7342,153,447,4877,10964,390,838
2016,3818,3924,1047,2579,3967,950,7548,3465,2009,3469,7233,139,402,4748,9736,371,839
2017,4498,3353,1041,2698,3909,1000,7107,3381,372,3410,7105,138,382,4578,9117,374,847
2018,4653,2806,966,2415,3807,955,6638,3287,330,3330,6852,130,344,4456,8409,360,866
2019,4618,2540,916,2229,3746,962,6307,3239,369,3313,6686,123,316,4362,7847,350,899
